meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.016016986,0.01601396,6.66E-05,5.75E-05,0.015960394,0.016074118,0.000113724,0.056322065,1.810566403,-0.272063089,0,0.656380829,0.998628284,1,0,0,0
0.016016346,0.016012853,6.60E-05,5.70E-05,0.015960026,0.016073338,0.000113312,0.078922085,1.823425843,-0.272064372,0,0.656380956,0.998637877,1,0,0,0
0.016015586,0.016012853,6.57E-05,5.66E-05,0.015959685,0.016071549,0.000111865,0.083292911,1.838725472,-0.27206661,0,0.656381022,0.998623136,1,0,0,0
0.016015329,0.016012639,6.61E-05,5.70E-05,0.015959756,0.016072237,0.000112482,0.084393291,1.829550336,-0.272065462,0,0.656380942,0.998628928,1,0,0,0
0.01601574,0.016013101,6.59E-05,5.68E-05,0.015960026,0.016071295,0.000111269,0.080094395,1.840814212,-0.272056208,0,0.656380982,0.998623836,1,0,0,0
0.016014593,0.016010381,6.63E-05,5.72E-05,0.015959229,0.016071467,0.000112238,0.098313449,1.828966392,-0.272067247,0,0.656380894,0.998622831,1,0,0,0
0.016015904,0.016012639,6.63E-05,5.73E-05,0.015960112,0.016073736,0.000113624,0.063579872,1.821119596,-0.272059263,0,0.656380894,0.998631337,1,0,0,0
0.016016123,0.016012583,6.65E-05,5.76E-05,0.015959773,0.016073904,0.000114131,0.056067402,1.805225025,-0.272063831,0,0.656380851,0.99863036,1,0,0,0
0.01601632,0.016012914,6.68E-05,5.79E-05,0.015959574,0.016073736,0.000114162,0.051195598,1.800690033,-0.272060192,0,0.656380782,0.998626824,1,0,0,0
0.014319541,0.01431961,7.05E-05,6.15E-05,0.014259393,0.014381047,0.000121654,0.040119128,1.773363807,-0.272070793,0,0.656377759,0.998629445,1,0,0,0
0.01432019,0.01432088,7.05E-05,6.15E-05,0.014260346,0.014382743,0.000122397,0.027766904,1.772345853,-0.272048931,0,0.65637775,0.998624571,1,0,0,0
0.014319878,0.014319327,7.06E-05,6.16E-05,0.014259223,0.01438154,0.000122316,0.037779613,1.768469646,-0.272060709,0,0.656377736,0.998630898,1,0,0,0
0.014320033,0.014318435,7.02E-05,6.12E-05,0.014260705,0.014380216,0.000119511,0.043599133,1.780167175,-0.272063275,0,0.656377852,0.998630874,1,0,0,0
0.014319463,0.014316471,7.02E-05,6.12E-05,0.014260893,0.014379885,0.000118993,0.057476967,1.780413153,-0.272070175,0,0.656377858,0.998638236,1,0,0,0
0.014319548,0.014316015,6.99E-05,6.10E-05,0.014260768,0.014379395,0.000118627,0.057484252,1.786634056,-0.272054106,0,0.656377939,0.998628288,1,0,0,0
0.014318953,0.014313853,6.99E-05,6.09E-05,0.014260136,0.01437894,0.000118804,0.074173676,1.793640706,-0.272051862,0,0.656377939,0.998621863,1,0,0,0
